date,Q,P,T,water_year
2006-12-10,17.16,22.61,1.42,2007
2006-12-11,17.48,1.78,-4.42,2007
2006-12-12,17.77,3.6,-5.92,2007
2006-12-13,17.91,5.43,-6.2,2007
2006-12-14,17.75,0.04,-8.75,2007
2006-12-15,17.0,8.02,-8.45,2007
2006-12-16,17.02,1.53,-8.53,2007
2006-12-17,17.81,6.25,-2.01,2007
2006-12-18,22.66,11.02,3.69,2007
2006-12-19,136.94,34.73,4.52,2007
2006-12-20,465.37,57.76,5.36,2007
2006-12-21,174.19,20.19,1.45,2007
2006-12-22,61.08,17.39,5.08,2007
2006-12-23,74.2,7.88,2.49,2007
2006-12-24,137.03,45.27,4.25,2007
2006-12-25,69.53,10.62,0.19,2007
2006-12-26,47.0,0.66,0.3,2007
2006-12-27,40.16,4.21,1.88,2007
2006-12-28,79.37,22.62,3.08,2007
2006-12-29,197.06,26.77,3.21,2007
2006-12-30,107.12,12.11,1.59,2007
